"field 0°" "n_s 0°" "n_s_error 0°" "field 90°" "n_s 90°" "n_s_error 90°" "fit 0°" "fit 90°"
0.0 21363413.3830789 557.339740300895 0.0 21361736.8916913 374.046110981071 21363413.3830789 21361736.8916913
0.005 21359809.224302 519.360320483486 0.005 21359471.3893382 368.454071566148 21363062.29589542 21360673.718854014
0.01 21362257.6997977 365.569359586449 0.01 21358543.1228227 224.333745038383 21362475.870129082 21356506.460191254
0.015 21365162.0607985 446.494052037576 0.015 21353706.696556 298.667186058355 21361641.4982576 21349370.43521545
0.02 21361578.1179958 638.676299086567 0.02 21350894.4645901 269.446409402627 21360267.627083443 21338756.248801716
0.025 21362387.3377619 377.779410500498 0.025 21343584.3401893 201.641758913848 21358556.41592454 21325479.843608916
0.03 21358693.0998863 312.827232991107 0.03 21332698.611238 253.535117759457 21356559.49632376 21309689.5194695
0.035 21360822.4360214 363.655411172883 0.035 21317256.0392968 612.065623004038 21354233.68233323 21289235.141005695
0.04 21356866.0779042 373.955165836542 0.04 21298298.0311614 471.04384044853 21351572.77893318 21264604.13501442
0.045 21352830.2412278 483.723334596575 0.045 21273646.4029555 522.074748894601 21348624.272158965 21237000.492725205
0.05 21347908.5211765 658.998701920146 0.05 21246726.114739 253.147459627573 21345256.02807304 21205936.404904965
0.055 21343888.650494 271.873687745325 0.055 21206606.2718131 422.019436890587 21341972.801315855 21170942.962132208
0.06 21338452.9951791 461.069767685712 0.06 21165594.5712631 786.634397776265 21338785.330609567 21133759.65331781
0.065 21334510.0958653 226.492095715916 0.065 21134567.3594393 1214.02128321031 21335817.261241484 21094532.739201266
0.07 21333654.701654 474.576427777081 0.07 21114573.7489549 1852.94634458867 21333040.023486324 21060116.13564637
0.075 21333619.8067543 324.538168603016 0.075 21054907.9759697 1995.56519381328 21330415.998300273 21028664.581660666
0.08 21328845.5127218 689.31551031858 0.08 21025224.5514645 1946.11273076759 21328029.04867693 21000775.641941782
0.085 21325058.9630399 451.967477606467 0.085 20942497.4219956 2211.75246179295 21325922.74155135 20976451.11480305
0.09 21322983.19972 656.738095164646 0.09 20929678.2323411 1832.14096142895 21323933.855320714 20955088.577721294
0.095 21321109.4140894 647.101101965105 0.095 20904186.0927879 1743.53174840472 21322071.254816793 20937312.953215618
0.1 21316957.8882524 332.849363072051 0.1 20937205.6678995 1703.90600135817 21320400.363346253 20925974.131916966
0.105 21317594.2898752 475.504745188948 0.105 20919331.0081446 1831.62035428362 21318882.511920214 20917046.4783615
0.11 21318923.8855215 354.359091953038 0.11 20914801.747938 1684.59547003948 21317524.059609372 20910419.255099237
0.115 21314899.0837053 635.733137077167 0.115 20925557.7886989 1418.85792326809 21316253.729662865 20912288.374231525
0.12 21315456.8447129 250.357947274133 0.12 20902827.1064756 1526.13850316343 21315148.822984256 20916459.73872711
0.125 21312116.6512261 538.582633125806 0.125 20905881.0284571 1406.92004306895 21314194.342501998 20923086.75919792
0.13 21310251.4729635 465.63213556828 0.13 20931204.1700322 1300.96128124149 21313426.839954644 20936027.421894047
0.135 21309906.840379 386.249814045493 0.135 20914055.4108571 1431.07843312839 21312791.178373575 20952665.372911055
0.14 21310063.1379874 244.569054014347 0.14 20941390.5655792 1315.25116959067 21312274.284249194 20972229.432854306
0.145 21306728.7476005 331.789949253595 0.145 20907164.8666059 1726.43190056625 21312031.130821258 20995283.41076364
0.15 21301515.891539 576.644428535698 0.15 20924499.8596184 1376.41337903807 21312033.00600505 21021998.394411728
