B [T] delta f transversal 3.7 GHZ delta f longitudinal 3.7 GHZ delta f transversal 4.4 GHZ delta f longitudinal 4.4 GHZ
0.109981685 -13450000 -7050000 -13277778 -7746666
0.110968512 -13800000 -7450000 -13055555 -7770000
0.112005652 -13800000 -7400000 -13222222 -8260000
0.11297862 -14250000 -7550000 -13222222 -8213333
0.113980661 -14350000 -7450000 -13722222 -7746666
0.115026989 -14450000 -7650000 -13500000 -8446666
0.115963352 -14350000 -7550000 -13722222 -8283333
0.117003354 -14650000 -7650000 -14388889 -8353333
0.118015337 -14900000 -7750000 -14611111 -8446666
0.11897294 -15000000 -7650000 -14333333 -8446666
0.119997878 -15450000 -7750000 -14388889 -8703333
0.121016941 -15500000 -7750000 -14722222 -8960000
0.121986746 -15700000 -7750000 -15666666 -8960000
0.122960467 -15900000 -7900000 -15722222 -8960000
0.124025022 -15900000 -8350000 -15722222 -8960000
0.125033541 -16450000 -8350000 -15722222 -8960000
0.125982859 -16450000 -8500000 -15722222 -8960000
0.127041389 -16950000 -8450000 -15833333 -9030000
0.128017972 -16950000 -8450000 -15722222 -9543333
0.129024532 -17050000 -8500000 -15666666 -9310000
0.129970988 -17100000 -8550000 -16777778 -9310000
0.130966401 -17550000 -8900000 -16833333 -9310000
0.132011826 -17950000 -8550000 -16944444 -9613333
0.132972893 -17900000 -8950000 -17611111 -9893333
0.133968005 -18250000 -9200000 -17722222 -9893333
0.134959803 -18400000 -9100000 -17722222 -9893333
0.13597751 -18400000 -9150000 -18611111 -9916666
0.136985426 -18700000 -9200000 -18666666 -9893333
0.138033863 -18700000 -9300000 -18833333 -9916666
0.138979716 -19250000 -9200000 -18666666 -10126666
0.140029811 -19350000 -9600000 -18944444 -10453333
0.141003683 -19400000 -9750000 -19166666 -10406666
0.142025307 -19750000 -9450000 -19222222 -10453333
0.142963327 -20100000 -9750000 -20111111 -10406666
0.144009956 -20400000 -9650000 -20166666 -10733333
0.144964697 -20450000 -9650000 -20166666 -10826666
0.146027445 -20400000 -9650000 -21166666 -10966666
0.146981433 -21200000 -9750000 -21166666 -10850000
0.14803921 -21100000 -10150000 -21166666 -10920000
0.149021668 -21700000 -10200000 -21222222 -11106666
0.149983187 -21700000 -9950000 -21222222 -11106666
0.151034336 -22200000 -10100000 -21277778 -11246666
0.151981847 -22200000 -10350000 -22611111 -11106666
0.15296792 -22200000 -10500000 -22777778 -11176666
0.154016207 -22600000 -10600000 -22888889 -11573333
0.154984656 -23150000 -10650000 -23166666 -11480000
0.155965005 -23150000 -10600000 -23388889 -11503333
0.157026096 -23500000 -10600000 -22944444 -11760000
0.157976769 -23950000 -10750000 -24388889 -11760000
0.158995682 -23700000 -10950000 -24000000 -11736666
0.159976935 -24150000 -10950000 -24833333 -11760000
0.160961201 -24150000 -11100000 -24388889 -12460000
0.16202907 -24050000 -11100000 -24833333 -11806666
0.163027797 -24150000 -10950000 -24722222 -12110000
0.164036918 -24900000 -11200000 -24833333 -12460000
0.164989098 -25000000 -11150000 -25555555 -12693333
0.165968845 -25000000 -11550000 -25555555 -12460000
0.167013818 -25550000 -11700000 -25055555 -12436666
0.168026253 -25900000 -12000000 -25555555 -13020000
0.168987019 -25900000 -11700000 -26777778 -13020000
0.169973544 -26000000 -11850000 -26611111 -13043333
0.170962329 -26000000 -12000000 -26000000 -12786666
0.17199269 -26400000 -12000000 -27111111 -13020000
0.173014615 -26950000 -12000000 -27944444 -13323333
0.174019971 -25900000 -12000000 -28055555 -13276666
